truck_id,trip_id,id,time,longitude,latitude,type,note
"0c:48:85:e9:b7:4c",20150512,431492274,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""21:44:34"",""year"":2015,""day"":12}",-118.03207456,33.79491347,"start",""
"0c:48:85:e9:b7:4c",20150512,431492382,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""21:46:22"",""year"":2015,""day"":12}",-118.03207696,33.79484645,"Running",""
"0c:48:85:e9:b7:4c",20150512,431492421,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""21:47:01"",""year"":2015,""day"":12}",-118.03206611,33.79486981,"stop",""
"0c:48:85:e9:b7:4c",20150512,431493330,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""22:02:10"",""year"":2015,""day"":12}",-118.03201337,33.79499953,"start",""
"0c:48:85:e9:b7:4c",20150512,431493346,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""22:02:26"",""year"":2015,""day"":12}",-118.03212021,33.79475082,"stop",
"0c:48:85:e9:b7:4c",20150512,431493390,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""22:03:10"",""year"":2015,""day"":12}",-118.03219894,33.79488082,"start",""
"0c:48:85:e9:b7:4c",20150512,431493393,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""22:03:13"",""year"":2015,""day"":12}",-118.03218764,33.79488604,"stop",""
"0c:48:85:e9:b7:4c",20150512,431496342,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""22:52:22"",""year"":2015,""day"":12}",-118.03201966,33.7946517,"note","/data/data/com.eobr/files/0c4885e9b74c_-1_1.3gp"
"0c:48:85:e9:b7:4c",20150512,431497170,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""23:06:10"",""year"":2015,""day"":12}",-118.03217666,33.79467335,"start",""
"0c:48:85:e9:b7:4c",20150512,431497229,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""23:07:09"",""year"":2015,""day"":12}",-118.03215039,33.79471018,"picked_up_empty",""
"0c:48:85:e9:b7:4c",20150512,431497230,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""23:07:10"",""year"":2015,""day"":12}",-118.03215101,33.79464564,"Running",""
"0c:48:85:e9:b7:4c",20150512,431497250,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""23:07:30"",""year"":2015,""day"":12}",-118.0319998,33.79472799,"stop",""
"0c:48:85:e9:b7:4c",20150515,431712848,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:00:48"",""year"":2015,""day"":15}",-118.03248622,33.79463885,"start",""
"0c:48:85:e9:b7:4c",20150515,431712874,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:01:14"",""year"":2015,""day"":15}",-118.03209085,33.79474886,"available",""
"0c:48:85:e9:b7:4c",20150515,431712902,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:01:42"",""year"":2015,""day"":15}",-118.03241671,33.79476073,"stop",
"0c:48:85:e9:b7:4c",20150515,431714353,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:25:53"",""year"":2015,""day"":15}",-118.03201262,33.79470002,"start",""
"0c:48:85:e9:b7:4c",20150515,431714471,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:27:51"",""year"":2015,""day"":15}",-118.02811822,33.79254229,"Running",""
"0c:48:85:e9:b7:4c",20150515,431714523,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:28:43"",""year"":2015,""day"":15}",-118.02871881,33.78964768,"stop",""
"0c:48:85:e9:b7:4c",20150515,431714910,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:35:10"",""year"":2015,""day"":15}",-118.02870864,33.78965482,"start",""
"0c:48:85:e9:b7:4c",20150515,431714970,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:36:10"",""year"":2015,""day"":15}",-118.02841343,33.78909076,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715031,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:37:11"",""year"":2015,""day"":15}",-118.02834947,33.78610613,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715091,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:38:11"",""year"":2015,""day"":15}",-118.03352018,33.77815141,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715151,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:39:11"",""year"":2015,""day"":15}",-118.04631734,33.77496599,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715211,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:40:11"",""year"":2015,""day"":15}",-118.06527308,33.77471057,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715271,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:41:11"",""year"":2015,""day"":15}",-118.08377893,33.7747544,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715332,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:42:12"",""year"":2015,""day"":15}",-118.09311287,33.78642858,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715451,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:44:11"",""year"":2015,""day"":15}",-118.10732908,33.79766256,"Running",""
"0c:48:85:e9:b7:4c",20150515,431715511,"{""month"":5,""timezone"":""America\/Los_Angeles"",""time"":""11:45:11"",""year"":2015,""day"":15}",-118.10783062,33.79649909,"Running",""
